Year,Month,Material Description,Quantity
2018,7,816/1 PLATE SHIFT DRUM STOPPER,524300
2018,7,820/3 HOLDER CLUTCH,28800
2018,7,863/0 PLATE CLUTCH,44100
2018,7,877/0 SPROCKET CAM,53280
2018,7,880/0 STOPR COMP.GR SHIFT DRUM,159500
2018,7,881/0 SPROCKET CAM,113760
2018,7,884/1 RATCHET PLATE,150000
2018,7,890/ plate clutch with out Planish.(k1),20000
2018,7,890/0 plate clutch with Planish.(k1),90000
2018,7,893/0 STOPPER LEVER ASSY.,85500
2018,7,895/0 LEVER SHIFT 1.,47000
2018,7,896/0 JAW FINGER VERTICAL,100000
2018,7,909/M MASTER ARM GEAR SHIFTER,179690
2018,7,915/0 SPROCKET STARTING,280000
2018,7,918/M SPROCKET,39000
2018,7,920/0 LATCH,15000
2018,7,921/0 PLATE,50000
2018,7,"923/0 ,KEY PACKING",115000
2018,7,924/1 SPROCKET CAM,497700
2018,7,925/0 SPROCKET,33600
2018,7,930/0 KEY,30000
2018,7,935/0 STOPPER LEVER ASSY.,6000
2018,7,936/0 PLATE,61500
2018,7,937/0 SPACER WASHER,85000
2018,7,938/F PLATE VALVE FRONT 1W,19360
2018,7,938/R PLATE VALVE  REAR-1W,19360
2018,7,"941/0 Washer, 5th Sync Hub",37600
2018,7,"943/1 , STOPPER PLATE",6000
2018,7,945/0 STOPPER LEVER ASSY.,1800
2018,7,947/0 Stopper Comp Gear Shift Cam,13000
2018,7,949/0 STOPPER LEVER ASSY.,2000
2018,7,950/0 LEVER SHIFT 1,8200
2018,7,951/0 LEVER SHIFT 2,4000
2018,7,952/0 PLATE CLUTCH,42000
2018,7,956/0 SPROCKET,41
2018,7,EXP64A NABE,5000
2018,8,037/A CONTACT FINGER,7250
2018,8,037/B CONTACT FINGER,51000
2018,8,1000/0 WHEEL STARTER,11000
2018,8,1003/0 FACE DRIVE,24800
2018,8,1005/0 GEAR STARTER CLUTCH,4008
2018,8,1007/0 STOPPER LEVER ASSY.,11000
2018,8,1012/0 GEAR STARTER CLUTCH,15786
2018,8,1013/F - F DISCHARGE VALVE PLATE 1W,10800
2018,8,1013/R - R DISCHARGE VALVE PLATE 1W,12800
2018,8,1015/0 GEAR STARTER CLUTCH,40640
2018,8,1017/0 CRANK SENSOR TARGET WHEEL,300
2018,8,134/0 TRIPPING CAM,900
2018,8,162/0 VALVE SPRING DISC,16100
2018,8,256/1 CONTACT FINGER,70000
2018,8,337/4 HOLDER,144768
2018,8,487/0 PLATE VALVE INLET TS5,1500
2018,8,488/0 PLATE VALVE DISC TS5,1500
2018,8,490/0 PRESSURE PLATE 4.5MM,1000
2018,8,492/0 PRESSURE PLATE 6.5MM,8000
2018,8,"499/F1 F DISCHARGE VALVE PLATE, 1W",38400
2018,8,"499/R1 R DISCHARGE VALVE PLATE, 1W",43800
2018,8,500/0 THRUST WASHER,10000
2018,8,503/0 TONGUE SPACER,45100
2018,8,529/F1 VALVE PLATE_F (1W),60000
2018,8,529/R1 VALVE PLATE_R (1W),61200
2018,8,531/0 SPROCKET CRANK SHAFT-4.38 THK,25250
2018,8,542/0 CLOSE LATCH SUB ASSEMBLY,800
2018,8,553/0 PLATE PRESSURE CLUTCH,6000
2018,8,558/0 LOCK WASHER BRG NUT,20160
2018,8,560/0 VALVE PLATE CR06,9900
2018,8,565/0 FACE  DRIVE,79600
2018,8,569/0  VALVE  PLATE,97800
2018,8,"572/0 GEAR COMP, STARTER CLUTCH",8400
2018,8,"578/0 LEVER,  REVERSE GEAR SHIFT",14400
